Animal_ID,RAWM_D1_Trial 1_Errors,RAWM_D1_Trial 2_Errors,RAWM_D1_Trial 3_Errors,RAWM_D1_Trial 4_Errors,RAWM_D1_Trial 5_Errors,RAWM_D1_Trial 6_Errors,RAWM_D1_Trial1_duration,RAWM_D1_Trial2_duration,RAWM_D1_Trial3_duration,RAWM_D1_Trial4_duration,RAWM_D1_Trial5_duration,RAWM_D1_Trial6_duration,RAWM_D1_Trial1_velocity,RAWM_D1_Trial2_velocity,RAWM_D1_Trial3_velocity,RAWM_D1_Trial4_velocity,RAWM_D1_Trial5_velocity,RAWM_D1_Trial6_velocity,RAWM_D1_Block1_Errors,RAWM_D1_Block1_duration,RAWM_D1_Block1_velocity,RAWM_D1_Block2_Errors,RAWM_D1_Block2_duration,RAWM_D1_Block2_velocity,RAWM_D1_TotAvg_Errors,RAWM_D1_TotAvg_duration,RAWM_D1_TotAvg_velocity
368_42week,1,2,7,4,3,0,9.48,9.44,39.64,27.32,13.56,1.96,10.5977,15.8387,15.2811,14.2421,15.5596,12.563,3.333333333,19.52,13.90583333,2.333333333,14.28,14.12156667,2.833333333,16.9,14.0137
369_42week,8,8,3,4,2,0,42.32,58.2,15.64,28.2,9.84,7.92,15.9373,5.68117,13.2938,14.9948,14.8303,9.72904,6.333333333,38.72,11.63742333,2,15.32,13.18471333,4.166666667,27.02,12.41106833
370_42week,10,8,5,3,0,3,40.68,40.72,33.64,16.44,5.96,16.96,13.4117,15.5328,12.6106,13.1468,7.17698,10.4537,7.666666667,38.34666667,13.8517,2,13.12,10.25916,4.833333333,25.73333333,12.05543
371_42week,6,0,9,0,4,3,40.84,4.96,40.76,15.6,18.52,16.44,14.7207,13.2045,15.7867,12.5296,13.8481,14.7895,5,28.85333333,14.57063333,2.333333333,16.85333333,13.7224,3.666666667,22.85333333,14.14651667
372_42week,6,10,6,2,9,5,48.2,38.44,45.6,9.24,36.64,43.84,14.9673,17.0317,13.1378,13.5231,16.4194,12.78,7.333333333,44.08,15.0456,5.333333333,29.90666667,14.24083333,6.333333333,36.99333333,14.64321667
374_42week,7,4,8,4,8,4,44.36,24.56,29.32,24.8,36.92,27.68,15.153,13.4545,13.5617,13.4436,14.6126,13.8402,6.333333333,32.74666667,14.0564,5.333333333,29.8,13.96546667,5.833333333,31.27333333,14.01093333
375_42week,8,7,6,0,2,2,46.68,37.72,33.2,2.32,7.68,13.4,15.6908,14.5973,14.5372,12.1409,12.7851,14.1375,7,39.2,14.94176667,1.333333333,7.8,13.02116667,4.166666667,23.5,13.98146667
376_42week,8,7,2,4,3,2,41.56,36.52,10.12,24.16,34.16,10.64,16.814,14.5435,10.9851,12.7661,4.34838,10.3989,5.666666667,29.4,14.1142,3,22.98666667,9.171126667,4.333333333,26.19333333,11.64266333
377_42week,5,8,1,0,5,4,31.36,38.44,12.8,10.44,13.84,17.56,16.3537,14.8612,10.7954,9.38917,13.7785,12.2221,4.666666667,27.53333333,14.00343333,3,13.94666667,11.79659,3.833333333,20.74,12.90001167
378_42week,7,9,4,0,2,1,30.08,43.96,19.72,4.96,11.64,4.08,14.8095,16.0107,15.0725,11.4493,15.7696,12.8874,6.666666667,31.25333333,15.29756667,1,6.893333333,13.36876667,3.833333333,19.07333333,14.33316667
